Instance,Our_Vehicles,BKS_Vehicles,Vehicle_Gap(%),Our_Distance,BKS_Distance,Distance_Gap(%),Time(s)
LC2_6_4.sol,24,17.0,41.17647058823529,9776.22,7860.38,24.373376350761657,3133.21
LC2_6_5.sol,25,18.0,38.88888888888889,9421.35,9051.53,4.085718105115928,3002.97
LC2_6_6.sol,22,18.0,22.22222222222222,8946.65,8775.55,1.949735344223443,3002.18
LC2_6_7.sol,25,18.0,38.88888888888889,9408.45,9376.58,0.3398893839758292,2988.31
LC2_6_8.sol,25,18.0,38.88888888888889,9257.73,7579.93,22.13476905459548,2981.15
LC2_6_9.sol,22,18.0,22.22222222222222,8874.11,8714.22,1.834817115014324,3021.48
LC2_8_1.sol,32,24.0,33.33333333333333,13842.98,11687.06,18.4470688094354,3239.31
LC2_8_10.sol,31,23.0,34.78260869565217,14490.68,12226.42,18.51940306320248,3485.42
LC2_8_2.sol,36,24.0,50.0,15442.78,13713.13,12.613094165956287,3355.42
LC2_8_3.sol,35,24.0,45.83333333333333,15953.41,12981.37,22.89465595695985,3539.6
LC2_8_4.sol,34,23.0,47.82608695652174,15835.5,12917.34,22.591028803143683,3762.68
LC2_8_5.sol,32,25.0,28.000000000000004,14409.78,12298.33,17.1685911827053,3307.32
LC2_8_6.sol,34,24.0,41.66666666666667,15498.54,12645.71,22.55966647977853,3363.78
LC2_8_7.sol,34,24.0,41.66666666666667,14153.73,14041.47,0.7994889423970583,3531.0
LC2_8_8.sol,34,23.0,47.82608695652174,14117.18,12924.1,9.231435844662297,3491.66
LC2_8_9.sol,33,24.0,37.5,15024.4,11629.41,29.19314049465966,3354.98
LR1_10_1.sol,0,100.0,-100.0,66653.04,56744.91,17.460826001838736,3053.14
LR1_10_10.sol,67,38.0,76.31578947368422,48008.12,45510.71,5.487521508673461,3303.83
LR1_10_2.sol,90,80.0,12.5,60264.21,49349.84,22.116322970854625,3179.03
LR1_10_3.sol,70,54.0,29.629629629629623,49858.51,41483.89,20.187643926353104,3388.75
LR1_10_4.sol,50,27.0,85.18518518518519,35924.52,30788.11,16.683096169267927,4081.41
LR1_10_5.sol,88,58.0,51.72413793103448,61476.24,59053.68,4.1023014992461055,3091.35
LR1_10_6.sol,75,46.0,63.04347826086957,52911.63,51058.53,3.6293641826351024,3181.05
LR1_10_7.sol,60,35.0,71.42857142857143,42536.76,38563.2,10.304020413243729,3502.54
LR1_10_8.sol,47,24.0,95.83333333333334,35436.25,29613.27,19.66341440847296,4044.67
LR1_10_9.sol,76,47.0,61.70212765957447,54706.48,54582.25,0.2276014638458532,3145.78
LR1_2_1.sol,0,20.0,-100.0,4819.12,4819.12,0.0,2702.2
LR1_2_10.sol,14,11.0,27.27272727272727,3421.19,3664.08,-6.628949149581883,2703.55
LR1_2_2.sol,19,17.0,11.76470588235294,4256.57,4621.21,-7.890574113706157,2703.44
LR1_2_3.sol,17,14.0,21.428571428571427,3530.54,4402.38,-19.803833381034806,2704.12
LR1_2_4.sol,13,10.0,30.0,2848.59,3027.06,-5.895819706249622,2709.48
LR1_2_5.sol,19,16.0,18.75,4309.63,4760.18,-9.464978215109516,2704.33
LR1_2_6.sol,17,13.0,30.76923076923077,3846.04,4800.94,-19.88985490341474,2704.59
LR1_2_7.sol,16,12.0,33.33333333333333,3213.21,3543.36,-9.317427526415608,2705.28
LR1_2_8.sol,11,9.0,22.22222222222222,2645.43,2759.32,-4.1274661873215255,2707.18
LR1_2_9.sol,17,13.0,30.76923076923077,3981.94,5050.75,-21.16141167153393,2702.42
LR1_4_1.sol,42,40.0,5.0,11458.01,10639.75,7.690594233887077,2717.43
LR1_4_10.sol,28,20.0,40.0,8248.29,8192.65,0.6791453314861643,2738.51
LR1_4_2.sol,38,30.0,26.666666666666668,10190.65,11009.51,-7.437751543892512,2722.52
LR1_4_3.sol,32,22.0,45.45454545454545,8217.84,9245.48,-11.115052977238602,2728.14
LR1_4_4.sol,23,15.0,53.333333333333336,7213.97,7007.9,2.940538535081845,2765.45
LR1_4_5.sol,37,28.0,32.142857142857146,9898.04,11374.06,-12.977072391037137,2723.98
LR1_4_6.sol,32,23.0,39.130434782608695,9476.27,11334.11,-16.391582576841056,2732.63
LR1_4_7.sol,26,18.0,44.44444444444444,8256.19,8675.36,-4.831730325888494,2730.86
LR1_4_8.sol,22,13.0,69.23076923076923,6541.2,6164.82,6.105287745627612,2777.67
LR1_4_9.sol,32,24.0,33.33333333333333,9807.0,9859.47,-0.5321787073747306,2724.36
LR1_6_1.sol,64,59.0,8.47457627118644,25418.56,22821.65,11.379150937815623,2767.31
LR1_6_10.sol,42,25.0,68.0,19176.0,19298.25,-0.633477128755198,2832.22
LR1_6_2.sol,54,45.0,20.0,22052.61,20137.22,9.511690292900408,2799.25
LR1_6_3.sol,43,37.0,16.216216216216218,20152.01,17846.17,12.920643477003752,2817.19
LR1_6_4.sol,33,28.0,17.857142857142858,15589.8,13127.56,18.75626544460661,2901.13
LR1_6_5.sol,54,37.0,45.94594594594595,22463.96,23623.52,-4.908497971513142,2797.91
LR1_6_6.sol,50,30.0,66.66666666666666,21513.82,23084.5,-6.804046004895061,2796.17
LR1_6_7.sol,38,24.0,58.333333333333336,18027.83,16963.37,6.275050299557239,2822.29
LR1_6_8.sol,29,18.0,61.11111111111112,13643.35,11917.7,14.479723436569133,2950.24
LR1_6_9.sol,45,31.0,45.16129032258064,20854.01,21835.87,-4.496546279126963,2811.98
LR1_8_1.sol,86,80.0,7.5,47430.16,39291.32,20.714091560171568,2843.64
LR1_8_10.sol,51,30.0,70.0,31590.56,31091.07,1.6065384690845366,3067.63
LR1_8_2.sol,72,59.0,22.033898305084744,39787.66,34071.19,16.77801685236119,2885.36
LR1_8_3.sol,56,44.0,27.27272727272727,34546.38,29223.1,18.216000355882844,3007.46
LR1_8_4.sol,41,25.0,64.0,25464.47,20675.7,23.16134399319008,3323.72
LR1_8_5.sol,71,48.0,47.91666666666667,38934.26,39809.68,-2.199012903394346,2935.46
LR1_8_6.sol,59,38.0,55.26315789473685,37982.57,36244.9,4.794246914738345,2921.59
LR1_8_7.sol,49,30.0,63.33333333333333,32120.03,27078.09,18.619998677897883,3018.09
LR1_8_8.sol,35,19.0,84.21052631578947,22532.05,20705.45,8.82183193313837,3375.12
LR1_8_9.sol,63,39.0,61.53846153846154,38066.76,38499.0,-1.122730460531437,2889.92
LR2_10_1.sol,38,17.0,123.52941176470588,60132.27,62859.29,-4.338292716955607,3994.38
LR2_10_10.sol,28,10.0,180.0,46161.22,44888.99,2.834169358677937,4949.2
LR2_10_2.sol,29,14.0,107.14285714285714,53873.44,51357.3,4.899284035570404,4620.25
LR2_10_3.sol,24,10.0,140.0,41129.98,42908.33,-4.144533240981409,5029.71
LR2_10_4.sol,20,8.0,150.0,36061.14,26595.39,35.59169465083987,8452.5
LR2_10_5.sol,32,13.0,146.15384615384613,53558.02,54951.12,-2.535162158660289,4280.23
LR2_10_6.sol,27,11.0,145.45454545454547,48841.75,46253.37,5.596089538989261,4804.19
LR2_10_7.sol,23,8.0,187.5,42830.12,39648.54,8.024456890468104,6367.32
LR2_10_8.sol,19,6.0,216.66666666666663,35623.04,26742.31,33.208537332788374,9378.47
LR2_10_9.sol,31,12.0,158.33333333333331,52131.67,50781.83,2.658116101763163,4400.19
LR2_2_1.sol,6,5.0,20.0,4162.91,4073.1,2.2049544572929696,2706.85
LR2_2_10.sol,5,3.0,66.66666666666666,3777.44,3254.83,16.0564453443037,2712.81
LR2_2_2.sol,7,4.0,75.0,4145.19,3796.0,9.198893572181232,2712.93
LR2_2_3.sol,5,4.0,25.0,3447.2,3098.36,11.258859525684544,2714.23
LR2_2_4.sol,5,3.0,66.66666666666666,2606.57,2486.0,4.849959774738542,2727.53
LR2_2_5.sol,4,4.0,0.0,3445.72,3438.39,0.2131811690936725,2715.05
LR2_2_6.sol,5,3.0,66.66666666666666,3321.29,4457.95,-25.49736986731569,2709.13
LR2_2_7.sol,5,3.0,66.66666666666666,3023.73,3098.35,-2.4083786531540947,2717.87
LR2_2_8.sol,5,2.0,150.0,2585.83,2449.36,5.571659535552136,2724.68
LR2_2_9.sol,5,3.0,66.66666666666666,3712.84,3922.11,-5.335648413736483,2709.26
LR2_4_1.sol,16,8.0,100.0,10638.51,9726.88,9.372275590939758,2769.54
LR2_4_10.sol,10,5.0,100.0,8099.96,7596.62,6.625841492663845,2815.41
