Instance,Variant,Our_Vehicles,BKS_Vehicles,Vehicle_Gap,Our_Distance,BKS_Distance,Distance_Gap,Time
LR1_8_5.sol,PDPTW,71,48.0,47.91666666666667,38934.26,39809.68,-2.199012903394346,2935.46
LR1_8_6.sol,PDPTW,59,38.0,55.26315789473685,37982.57,36244.9,4.794246914738345,2921.59
LR1_8_7.sol,PDPTW,49,30.0,63.33333333333333,32120.03,27078.09,18.619998677897883,3018.09
LR1_8_8.sol,PDPTW,35,19.0,84.21052631578947,22532.05,20705.45,8.82183193313837,3375.12
LR1_8_9.sol,PDPTW,63,39.0,61.53846153846154,38066.76,38499.0,-1.122730460531437,2889.92
lr201.sol,PDPTW,4,4.0,0.0,1253.23,1253.23,0.0,2701.03
lr202.sol,PDPTW,4,3.0,33.33333333333333,1250.09,1197.67,4.376831681514928,2701.3
lr203.sol,PDPTW,4,3.0,33.33333333333333,979.52,949.4,3.1725300189593435,2701.72
lr204.sol,PDPTW,3,2.0,50.0,955.41,849.05,12.526941876214595,2701.47
lr205.sol,PDPTW,3,3.0,0.0,1054.02,1054.02,0.0,2701.67
lr206.sol,PDPTW,3,3.0,0.0,931.63,931.63,0.0,2701.1
lr207.sol,PDPTW,4,2.0,100.0,1054.11,903.06,16.726463357916412,2701.44
lr208.sol,PDPTW,2,2.0,0.0,734.85,734.85,0.0,2702.32
lr209.sol,PDPTW,3,3.0,0.0,930.59,930.59,0.0,2701.47
lr210.sol,PDPTW,4,3.0,33.33333333333333,1050.95,964.22,8.994835203584246,2701.86
lr211.sol,PDPTW,3,2.0,50.0,905.47,911.52,-0.6637265227312571,2701.6
LR2_10_1.sol,PDPTW,38,17.0,123.52941176470588,60132.27,62859.29,-4.338292716955607,3994.38
LR2_10_10.sol,PDPTW,28,10.0,180.0,46161.22,44888.99,2.834169358677937,4949.2
LR2_10_2.sol,PDPTW,29,14.0,107.14285714285714,53873.44,51357.3,4.899284035570404,4620.25
LR2_10_3.sol,PDPTW,24,10.0,140.0,41129.98,42908.33,-4.144533240981409,5029.71
LR2_10_4.sol,PDPTW,20,8.0,150.0,36061.14,26595.39,35.59169465083987,8452.5
LR2_10_5.sol,PDPTW,32,13.0,146.15384615384613,53558.02,54951.12,-2.535162158660289,4280.23
LR2_10_6.sol,PDPTW,27,11.0,145.45454545454547,48841.75,46253.37,5.596089538989261,4804.19
LR2_10_7.sol,PDPTW,23,8.0,187.5,42830.12,39648.54,8.024456890468104,6367.32
LR2_10_8.sol,PDPTW,19,6.0,216.66666666666663,35623.04,26742.31,33.208537332788374,9378.47
LR2_10_9.sol,PDPTW,31,12.0,158.33333333333331,52131.67,50781.83,2.658116101763163,4400.19
LR2_2_1.sol,PDPTW,6,5.0,20.0,4162.91,4073.1,2.2049544572929696,2706.85
LR2_2_10.sol,PDPTW,5,3.0,66.66666666666666,3777.44,3254.83,16.0564453443037,2712.81
LR2_2_2.sol,PDPTW,7,4.0,75.0,4145.19,3796.0,9.198893572181232,2712.93
LR2_2_3.sol,PDPTW,5,4.0,25.0,3447.2,3098.36,11.258859525684544,2714.23
LR2_2_4.sol,PDPTW,5,3.0,66.66666666666666,2606.57,2486.0,4.849959774738542,2727.53
LR2_2_5.sol,PDPTW,4,4.0,0.0,3445.72,3438.39,0.2131811690936725,2715.05
LR2_2_6.sol,PDPTW,5,3.0,66.66666666666666,3321.29,4457.95,-25.49736986731569,2709.13
LR2_2_7.sol,PDPTW,5,3.0,66.66666666666666,3023.73,3098.35,-2.4083786531540947,2717.87
LR2_2_8.sol,PDPTW,5,2.0,150.0,2585.83,2449.36,5.571659535552136,2724.68
LR2_2_9.sol,PDPTW,5,3.0,66.66666666666666,3712.84,3922.11,-5.335648413736483,2709.26
LR2_4_1.sol,PDPTW,16,8.0,100.0,10638.51,9726.88,9.372275590939758,2769.54
LR2_4_10.sol,PDPTW,10,5.0,100.0,8099.96,7596.62,6.625841492663845,2815.41
LR2_4_2.sol,PDPTW,14,7.0,100.0,9369.82,9405.4,-0.3782933208582296,2795.45
LR2_4_3.sol,PDPTW,11,5.0,120.0,7246.38,10176.94,-28.796082122917102,2805.46
LR2_4_4.sol,PDPTW,9,4.0,125.0,7439.1,6201.84,19.949885840331262,2946.71
LR2_4_5.sol,PDPTW,12,6.0,100.0,9053.77,9894.46,-8.496572829644052,2781.79
LR2_4_6.sol,PDPTW,12,5.0,140.0,7854.64,8946.91,-12.208349027764887,2824.55
LR2_4_7.sol,PDPTW,10,4.0,150.0,7808.64,7993.16,-2.3084737450520136,2891.47
LR2_4_8.sol,PDPTW,10,4.0,150.0,6509.57,5260.42,23.746202774683383,3023.85
LR2_4_9.sol,PDPTW,13,6.0,116.66666666666669,8004.01,7926.07,0.9833372655048532,2804.68
LR2_6_1.sol,PDPTW,22,11.0,100.0,20278.85,21759.33,-6.803885965238833,2981.63
LR2_6_10.sol,PDPTW,16,7.0,128.57142857142858,19192.0,16390.64,17.09121791461469,3141.59
LR2_6_2.sol,PDPTW,19,9.0,111.11111111111111,18571.54,21289.7,-12.76748850383049,3103.23
LR2_6_3.sol,PDPTW,18,7.0,157.14285714285714,17615.02,17480.06,0.77207972970344,3178.96
LR2_6_4.sol,PDPTW,14,6.0,133.33333333333331,13902.29,10639.08,30.67191900051509,3598.26
LR2_6_5.sol,PDPTW,20,8.0,150.0,22281.41,22625.89,-1.522503645160476,3018.92
LR2_6_6.sol,PDPTW,17,7.0,142.85714285714286,17602.07,19099.49,-7.840104631066075,3201.76
LR2_6_7.sol,PDPTW,15,6.0,150.0,16593.05,14645.32,13.299333848628777,3266.92
LR2_6_8.sol,PDPTW,10,4.0,150.0,15131.88,12341.9,22.605757622408216,4028.57
LR2_6_9.sol,PDPTW,19,8.0,137.5,17847.45,18259.2,-2.255027602523659,3078.3
LR2_8_1.sol,PDPTW,29,14.0,107.14285714285714,38666.91,41873.12,-7.656964658950656,3290.73
LR2_8_10.sol,PDPTW,23,8.0,187.5,33211.26,30136.86,10.20146093521356,3570.02
LR2_8_2.sol,PDPTW,25,11.0,127.27272727272728,35651.85,36549.69,-2.4564914230462795,3469.23
LR2_8_3.sol,PDPTW,20,9.0,122.22222222222224,29957.66,26391.07,13.514381948136243,4016.31
LR2_8_4.sol,PDPTW,15,6.0,150.0,25317.7,20618.03,22.79398177226438,5345.92
LR2_8_5.sol,PDPTW,27,11.0,145.45454545454547,33735.41,34816.5,-3.105108210187688,3510.51
LR2_8_6.sol,PDPTW,22,9.0,144.44444444444443,32876.37,28814.65,14.09602407108884,3641.45
LR2_8_7.sol,PDPTW,18,7.0,157.14285714285714,28972.82,25502.39,13.608253971490516,4625.88
LR2_8_8.sol,PDPTW,16,5.0,220.00000000000003,23538.17,18327.23,28.43277462005987,6044.66
LR2_8_9.sol,PDPTW,26,10.0,160.0,33628.47,30515.5,10.201274762006198,3587.95
lrc101.sol,PDPTW,14,14.0,0.0,1708.8,1708.8,0.0,2700.5
lrc102.sol,PDPTW,13,12.0,8.333333333333332,1563.55,1558.07,0.3517171885730434,2700.49
lrc103.sol,PDPTW,11,11.0,0.0,1258.74,1258.74,0.0,2700.61
lrc104.sol,PDPTW,10,10.0,0.0,1128.4,1128.4,0.0,2700.59
lrc105.sol,PDPTW,13,13.0,0.0,1637.62,1637.62,0.0,2702.06
lrc106.sol,PDPTW,11,11.0,0.0,1425.53,1424.73,0.0561509900121394,2700.51
lrc107.sol,PDPTW,11,11.0,0.0,1230.14,1230.14,0.0,2700.86
lrc108.sol,PDPTW,10,10.0,0.0,1147.43,1147.43,0.0,2700.73
LRC1_10_1.sol,PDPTW,96,82.0,17.073170731707318,54150.06,49111.78,10.2588014525232,2966.94
LRC1_10_10.sol,PDPTW,66,47.0,40.42553191489361,42046.76,36539.03,15.073552855672425,3279.44
LRC1_10_2.sol,PDPTW,89,71.0,25.352112676056336,50672.72,45547.38,11.252765801238192,2996.94
LRC1_10_3.sol,PDPTW,73,53.0,37.735849056603776,42507.18,35616.85,19.345702946779408,3154.47
LRC1_10_4.sol,PDPTW,55,40.0,37.5,35920.05,27211.87,32.00140232920415,3749.97
LRC1_10_5.sol,PDPTW,91,72.0,26.38888888888889,56727.8,50323.04,12.72729151498002,3034.43
LRC1_10_6.sol,PDPTW,86,67.0,28.35820895522388,50465.16,45115.22,11.858392799591806,3071.19
LRC1_10_7.sol,PDPTW,81,60.0,35.0,48782.43,41560.52,17.376851877695476,3078.42
LRC1_10_8.sol,PDPTW,75,55.0,36.36363636363637,45847.12,40770.1,12.452802421382348,3101.18
LRC1_10_9.sol,PDPTW,74,52.0,42.30769230769231,45529.72,40934.27,11.22641249007251,3242.38
LRC1_2_1.sol,PDPTW,20,,,3710.67,,,2702.65
LRC1_2_10.sol,PDPTW,14,12.0,16.666666666666664,2889.58,2928.9,-1.3424835262385253,2704.37
LRC1_2_2.sol,PDPTW,19,15.0,26.666666666666668,3367.22,3671.02,-8.275629116703264,2703.16
LRC1_2_3.sol,PDPTW,16,13.0,23.07692307692308,3229.3,3154.92,2.357587514104957,2704.89
LRC1_2_4.sol,PDPTW,12,10.0,20.0,2606.72,2631.82,-0.953712639922197,2707.17
LRC1_2_5.sol,PDPTW,17,,,3812.49,,,2703.57
LRC1_2_6.sol,PDPTW,19,16.0,18.75,3520.09,3572.16,-1.4576614709307454,2703.19
LRC1_2_7.sol,PDPTW,17,14.0,21.428571428571427,3425.17,3666.34,-6.57794967187986,2703.11
LRC1_2_8.sol,PDPTW,16,13.0,23.07692307692308,3183.81,3145.74,1.2102080909420412,2705.92
LRC1_2_9.sol,PDPTW,16,13.0,23.07692307692308,3114.03,3157.34,-1.3717242995686223,2703.37
LRC1_4_1.sol,PDPTW,37,36.0,2.7777777777777777,9279.05,9124.52,1.6935685383998151,2719.34
